rank,zip,median_home_value,median_rent,rent_to_price,commute_minutes,crime_per_1k,owner_occ_pct,final_score,weighted_rent_to_price,weighted_crime,weighted_owner_occupancy,weighted_commute
1,78109,"$244,063","$1,686",0.083,22 min,24.98714457120003,75.3%,0.709,0.35,0.06393532243191857,0.12088305622616509,0.17391371702427322
2,78239,"$213,816","$1,446",0.081,15 min,24.80152220982875,72.5%,0.680,0.32517833648476097,0.06531815010334968,0.0899922722107916,0.2
3,78254,"$303,250","$1,730",0.068,43 min,33.56943271167717,82.2%,0.441,0.14765060528280655,0.0,0.2,0.09307810222652049
4,78154,"$304,136","$1,467",0.058,30 min,5.698778833107191,70.7%,0.420,0.0,0.20762752461206754,0.06893245164164982,0.14384137075817224
5,78130,"$303,198","$1,588",0.063,67 min,0.010955902492467817,64.6%,0.320,0.06956227047699122,0.25,0.0,0.0
6,78253,"$321,888","$1,583",0.059,50 min,23.58201929865851,78.2%,0.310,0.01584864918181427,0.07440305969343924,0.15429566070636377,0.0656112775645881
